player_id,club_id,first_name,last_name,club,position,nationality,shirt_num,best_player_counter
93,111,Eden,Hazard  ,Chelsea,LW,Belgium,87,0
94,111,Diego,Costa  ,Chelsea,CF,Spain,85,0
95,111,Gary,Cahill  ,Chelsea,CB,England,61,0
96,111,Marcos,Alonso  ,Chelsea,LB,Spain,20,0
97,111,Cesar,Azpilicueta  ,Chelsea,RB,Spain,45,0
98,111,Pedro,Flange,Chelsea,RW,Spain,99,0
99,111,Thibaut,Courtois  ,Chelsea,GK,Belgium,14,0
100,111,David,Luiz  ,Chelsea,CB,Brazil,30,0
101,111,Cesc,Fabregas  ,Chelsea,CM,Spain,10,0
102,111,Willian,William,Chelsea,RW,Brazil,38,0
103,111,Victor,Moses  ,Chelsea,RM,Nigeria,50,0
104,111,Nemanja,Matic  ,Chelsea,DM,Serbia,3,0
105,111,N%27Golo,Kante  ,Chelsea,DM,France,45,0
106,111,Willy,Caballero  ,Chelsea,GK,Argentina,48,0
107,111,Michy,Batshuayi  ,Chelsea,CF,Belgium,53,0
108,111,Kurt,Zouma  ,Chelsea,CB,France,28,0
109,111,Kenedy,Kinder,Chelsea,LB,Brazil,15,0
110,111,Eduardo,Carvalho  ,Chelsea,LW,Portugal,73,0
111,111,Antonio,Rudiger  ,Chelsea,CB,Germany,58,0
112,111,Tiemoue,Bakayoko  ,Chelsea,DM,France,6,0
113,112,Wilfried,Zaha  ,Crystal Palace,RW,Cote d'Ivoire,90,0
114,112,Christian,Benteke  ,Crystal Palace,CF,Belgium,24,0
115,112,Andros,Townsend  ,Crystal Palace,RW,England,14,0
116,112,Patrick,van  ,Crystal Palace,LB,Netherlands,58,0
117,112,James,McArthur  ,Crystal Palace,CM,Scotland,4,0
118,112,Wayne,Hennessey  ,Crystal Palace,GK,Wales,51,0
119,112,Jason,Puncheon  ,Crystal Palace,AM,England,86,0
120,112,Yohan,Cabaye  ,Crystal Palace,CM,France,45,0
121,112,Joel,Ward  ,Crystal Palace,RB,England,33,0
122,112,James,Tomkins  ,Crystal Palace,CB,England,60,0
123,112,Scott,Dann  ,Crystal Palace,CB,England,62,0
124,112,Damien,Delaney  ,Crystal Palace,CB,Ireland,93,0
125,112,Jeffrey,Schlupp  ,Crystal Palace,LB,Ghana,86,0
126,112,Martin,Kelly  ,Crystal Palace,RB,England,74,0
127,112,Luka,Milivojevic  ,Crystal Palace,DM,Serbia,14,0
128,112,Lee,Chung-yong  ,Crystal Palace,RW,South Korea,55,0
129,112,Connor,Wickham  ,Crystal Palace,CF,England,83,0
130,112,Bakary,Sako  ,Crystal Palace,LW,Mali,2,0
131,112,Pape,Souare  ,Crystal Palace,LB,Senegal,9,0
132,112,Ruben,Loftus-Cheek  ,Crystal Palace,CM,England,16,0
133,112,Julian,Speroni  ,Crystal Palace,GK,Argentina,39,0
134,114,Ross,Barkley  ,Everton,AM,England,96,0
135,114,Leighton,Baines  ,Everton,LB,England,58,0
136,114,Seamus,Coleman  ,Everton,RB,Ireland,80,0
137,114,Ashley,Williams  ,Everton,CB,Wales,76,0
138,114,Kevin,Mirallas  ,Everton,RW,Belgium,63,0
139,114,Michael,Keane  ,Everton,CB,England,91,0
140,114,Phil,Jagielka  ,Everton,CB,England,36,0
141,114,Jordan,Pickford  ,Everton,GK,England,35,0
142,114,Joel,Robles  ,Everton,GK,Spain,80,0
143,114,Idrissa,Gueye  ,Everton,CM,Senegal,68,0
144,114,Wayne,Rooney  ,Everton,SS,England,44,0
